,10m_critical_power,10m_critical_power_hr,10m_peak_wpk,10s_critical_power,10s_peak_wpk,15s_critical_power,15s_peak_wpk,1m_critical_power,1m_critical_power_hr,1m_peak_wpk,1s_critical_power,1s_peak_wpk,20m_critical_power,20m_critical_power_hr,20m_peak_wpk,20s_critical_power,20s_peak_wpk,2m_critical_power,30m_critical_power,30m_critical_power_hr,30m_peak_wpk,30s_critical_power,30s_peak_wpk,3m_critical_power,5m_critical_power,5m_critical_power_hr,5m_peak_wpk,5s_critical_power,5s_peak_wpk,60m_critical_power,60m_critical_power_hr,60m_peak_wpk,8m_critical_power,90m_critical_power,HRV_Recovery_Points,Rest_AVNN,Rest_HF,Rest_HR,Rest_LF,Rest_PNN50,Rest_SDNN,Rest_rMSSD,a_coggan_tss,a_friel_efficiency_factor,a_skiba_bike_score,a_skiba_response_index,a_skiba_variability_index,activity_crc,aerobic_decoupling,antiss_score,ap_percent_max,athlete_weight,atiss_score,average_speed,average_temp,best_1000m,best_100m,best_10km,best_1500m,best_15km,best_2000m,best_200m,best_20km,best_3000m,best_30km,best_4000m,best_400m,best_40km,best_5000m,best_500m,best_50m,best_800m,best_Marathon,best_half_marathon,coggan_tss,cp_setting,cpsolver_best_r,daniels_equivalent_power,daniels_points,data,date,distance_swim,elevation_gain,elevation_gain_carrying,elevation_loss,eoa,friel_efficiency_factor,gradient,heartbeats,hrnp,hrpw,l3_sustain,l4_sustain,l5_sustain,l6_sustain,l7_sustain,max_cadence,max_ct,max_heartrate,max_power,max_run_cadence,max_speed,max_temp,maxpowervariance,meanpowervariance,min_heartrate,min_temp,ninety_five_percent_hr,pace,pace_swim,peak_percent,power_fatigue_index,power_pacing_index,power_zone,ride_count,session_rpe,skiba_bike_score,skiba_response_index,skiba_variability_index,skiba_wprime_low,skiba_wprime_matches,skiba_wprime_max,skiba_wprime_maxmatch,skiba_wprime_tau,sport,time_carrying,time_in_zone_H1,time_in_zone_H2,time_in_zone_H3,time_in_zone_H4,time_in_zone_H5,time_in_zone_L1,time_in_zone_L2,time_in_zone_L3,time_in_zone_L4,time_in_zone_L5,time_in_zone_L6,time_in_zone_L7,time_in_zone_P1,time_in_zone_P2,time_in_zone_P3,time_in_zone_P4,time_in_zone_P5,time_in_zone_P6,time_riding,tiss_delta,total_distance,total_kcalories,total_work,trimp_100_points,trimp_points,trimp_zonal_points,triscore,vam,wattsRPE,wb,wcptime_in_zone_L1,wcptime_in_zone_L2,wcptime_in_zone_L3,wcptime_in_zone_L4,workout_time,wtime_in_zone_L1,wtime_in_zone_L2,wtime_in_zone_L3,wtime_in_zone_L4,wwork_in_zone_L1,wwork_in_zone_L2,wwork_in_zone_L3,wwork_in_zone_L4,VERSION,yob,gender,id,10m_critical_pace,10m_critical_pace_hr,10m_critical_pace_swim,10s_critical_pace,10s_critical_pace_swim,15s_critical_pace,15s_critical_pace_swim,1m_critical_pace,1m_critical_pace_hr,1m_critical_pace_swim,20m_critical_pace,20m_critical_pace_hr,20m_critical_pace_swim,20s_critical_pace,20s_critical_pace_swim,2m_critical_pace,2m_critical_pace_swim,30m_critical_pace,30m_critical_pace_hr,30m_critical_pace_swim,30s_critical_pace,30s_critical_pace_swim,3m_critical_pace,3m_critical_pace_swim,5m_critical_pace,5m_critical_pace_hr,5m_critical_pace_swim,60m_critical_pace,60m_critical_pace_hr,60m_critical_pace_swim,8m_critical_pace,8m_critical_pace_swim,90m_critical_pace,90m_critical_pace_swim,govss,govss_rtp,swimscore,swimscore_tp,average_lps,average_lte,average_rps,average_rte,filename,time,distance,speed,power,heartrate,cadence,torque,altitude,gps,slope,windspeed,temperature,pedal_data,moxy_O2,running_dynamics
257,229.19833,151.45743,3.18331,661.10000,9.18194,581.73333,8.07963,378.23333,171.81356,5.25324,932.00000,12.94444,186.56000,142.46122,2.59111,536.90000,7.45694,320.00833,180.01111,142.27237,2.50015,457.33333,6.35185,315.33889,290.16000,163.39130,4.03000,692.80000,9.62222,177.84417,141.03056,2.47006,244.46667,165.88352,9.00000,1191.80000,0.11860,50.30000,0.06350,71.90000,87.40000,107.40000,145.26879,1.49755,131.84469,1.42668,1.36809,1522332695496.00000,5.66985,9.35259,12.58642,72.00000,143.75243,18.68599,,1.93333,0.16667,28.98333,2.93333,45.70000,3.90000,0.35000,65.91667,6.83333,102.76667,10.63333,0.73333,143.16667,13.41667,0.93333,0.08333,1.51667,154.25000,69.68333,136.11991,269.00000,-255.00000,191.45426,59.56606,TDSPHC-AGL-EV--,2018/03/29 14:11:26 UTC,43242.50000,1200.60000,,770.20000,2.10093,1.46579,2.77644,20737.50000,1.46579,1.04282,,,,167.00000,91.00000,131.00000,38.56840,178.00000,932.00000,131.00000,39.01680,33.00000,932.00000,82.63893,59.00000,12.00000,165.00000,3.21096,0.32110,49.91548,99.57082,14.80120,1.12586,1.00000,,126.31479,1.39644,1.33910,6.34670,10.00000,75.86808,6.09300,420.00000,Bike,109.00000,2345.00000,3472.00000,3085.00000,741.00000,,4810.00000,1864.00000,1187.00000,657.00000,440.00000,400.00000,285.00000,1819.00000,97.00000,134.00000,234.00000,310.00000,7049.00000,8357.00000,93.89139,43.24250,1628.73893,1330.22500,98.25517,161.06632,185.22833,126.31479,448.21736,,275.85541,961.00000,173.00000,146.00000,6.00000,9643.00000,8763.00000,574.00000,297.00000,9.00000,1133.64500,115.58900,74.37100,3.56400,1.8,1987,M,d0a080a4-912e-45ea-b86d-a07b72d064a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_03_29_14_11_26.csv,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False
258,255.90333,157.94157,3.55421,428.00000,5.94444,394.40000,5.47778,299.28333,163.42373,4.15671,776.00000,10.77778,251.07333,159.35113,3.48713,360.50000,5.00694,284.86667,227.35778,153.22902,3.15775,335.26667,4.65648,273.86111,266.14667,160.97993,3.69648,545.00000,7.56944,223.35472,152.51348,3.10215,259.81042,195.14130,9.00000,1191.80000,0.11860,50.30000,0.06350,71.90000,87.40000,107.40000,100.26325,1.50395,99.03264,1.49469,1.12151,1522418439491.00000,-0.71197,0.33577,17.75909,72.00000,80.59229,27.88052,,0.98333,0.10000,15.91667,1.51667,27.03333,2.03333,0.18333,35.28333,3.28333,61.00000,4.81667,0.38333,83.16667,6.36667,0.46667,0.05000,0.76667,,37.35000,94.37923,269.00000,-255.00000,214.32948,60.40709,TDSPHC-AGL-EV--,2018/03/30 14:00:06 UTC,41789.80000,801.20000,,459.60000,1.83442,1.47543,1.91721,13143.88333,1.47543,1.33275,,,92.00000,,,124.00000,38.76082,211.00000,776.00000,124.00000,65.88720,27.00000,776.00000,22.12412,66.00000,17.00000,167.00000,2.15204,0.21520,70.31309,99.87113,25.08243,2.05020,1.00000,,95.31281,1.46635,1.10024,22.11025,1.00000,15.93062,2.28800,553.00000,Bike,15.00000,167.00000,2099.00000,2212.00000,767.00000,169.00000,1175.00000,1636.00000,944.00000,1419.00000,174.00000,54.00000,12.00000,61.00000,16.00000,20.00000,21.00000,29.00000,5267.00000,5396.00000,99.58510,41.78980,1238.26039,1053.77900,86.79488,142.27986,124.87667,95.31281,532.75212,,138.50748,411.00000,,,,5414.00000,5414.00000,,,,1060.41000,,,,1.8,1987,M,d0a080a4-912e-45ea-b86d-a07b72d064a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_03_30_14_00_06.csv,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False
259,246.43500,160.27379,3.42271,529.10000,7.34861,489.06667,6.79259,399.53333,161.76271,5.54907,1113.00000,15.45833,201.74667,145.15346,2.80204,461.85000,6.41458,303.65000,180.15778,139.00278,2.50219,451.80000,6.27500,287.84444,277.44000,162.93645,3.85333,583.40000,8.10278,171.32611,136.15421,2.37953,259.87917,158.16574,9.00000,1191.80000,0.11860,50.30000,0.06350,71.90000,87.40000,107.40000,200.97397,1.47016,183.90569,1.40634,1.39741,1522501021651.00000,23.85470,4.89799,12.11546,72.00000,150.16769,21.88764,,1.41667,0.13333,19.03333,2.35000,32.63333,3.21667,0.25000,45.48333,4.88333,66.63333,6.60000,0.51667,103.93333,8.45000,0.65000,0.06667,1.10000,115.66667,48.18333,191.20386,269.00000,-255.00000,191.56793,82.82053,TDSPHC-AGL-EV--,2018/03/31 12:56:56 UTC,70478.20000,887.60000,3.40000,543.60000,1.37571,1.44997,1.25940,30472.06667,1.44997,1.00639,,,152.00000,286.00000,66.00000,146.00000,38.91789,223.00000,1113.00000,146.00000,50.10120,31.00000,979.00000,43.88514,66.00000,16.00000,172.00000,2.74127,0.27413,48.36796,99.46092,11.93040,1.12115,1.00000,,178.91346,1.38712,1.37832,11.65455,12.00000,55.68613,7.83600,430.00000,Bike,71.00000,3376.00000,6171.00000,2405.00000,1837.00000,125.00000,7186.00000,3882.00000,1212.00000,642.00000,466.00000,326.00000,200.00000,2793.00000,119.00000,126.00000,160.00000,220.00000,10496.00000,11592.00000,96.84134,70.47820,2249.31052,1847.57600,135.20120,221.63067,283.52500,178.91346,229.65071,,562.99459,882.00000,278.00000,20.00000,,13914.00000,13073.00000,796.00000,45.00000,,1675.06000,171.15100,14.82700,,1.8,1987,M,d0a080a4-912e-45ea-b86d-a07b72d064a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_03_31_12_56_56.csv,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False
260,236.98333,155.23873,3.29144,365.30000,5.07361,313.80000,4.35833,276.16667,158.13559,3.83565,540.00000,7.50000,224.65833,147.38282,3.12025,287.35000,3.99097,255.59167,220.99500,147.91273,3.06937,285.56667,3.96620,249.17778,244.75000,157.95318,3.39931,400.80000,5.56667,216.56583,153.83829,3.00786,239.78542,213.30056,9.00000,1191.80000,0.11860,50.30000,0.06350,71.90000,87.40000,107.40000,153.38036,1.45898,151.81094,1.45149,1.08406,1522589902222.00000,6.93808,0.05597,17.90338,72.00000,123.60430,30.52843,,1.06667,0.10000,15.53333,1.65000,23.83333,2.31667,0.20000,32.16667,3.85000,53.26667,5.38333,0.41667,71.93333,7.08333,0.51667,0.05000,0.83333,76.48333,34.41667,143.67142,269.00000,-255.00000,209.18425,87.06344,TDSPHC-AGL-EV--,2018/04/01 13:38:08 UTC,72683.10000,858.60000,,487.80000,2.13310,1.42779,1.18129,21105.55000,1.42779,1.33894,,,,,,114.00000,38.83458,227.00000,540.00000,114.00000,61.78320,26.00000,540.00000,21.20357,83.00000,17.00000,161.00000,1.96538,0.19654,71.74381,99.81481,36.33723,2.05187,1.00000,,145.38587,1.42045,1.06087,24.41513,,7.16682,0.95800,572.00000,Bike,7.00000,445.00000,1697.00000,6104.00000,194.00000,300.00000,986.00000,2330.00000,4400.00000,897.00000,109.00000,16.00000,2.00000,232.00000,9.00000,9.00000,17.00000,35.00000,8438.00000,8571.00000,99.95474,72.68310,1977.75517,1714.97200,139.41274,228.53451,191.33333,145.38587,353.65675,,361.95427,244.00000,,,,8740.00000,8740.00000,,,,1719.48300,,,,1.8,1987,M,d0a080a4-912e-45ea-b86d-a07b72d064a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_04_01_13_38_08.csv,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False
261,256.43167,156.23706,3.56155,429.90000,5.97083,426.13333,5.91852,394.28333,154.49153,5.47616,526.00000,7.30556,227.91167,150.36947,3.16544,418.90000,5.81806,379.94167,214.94167,147.39411,2.98530,401.10000,5.57083,313.49444,289.23667,158.58528,4.01718,462.20000,6.41944,205.05083,148.29091,2.84793,267.04167,,9.00000,1191.80000,0.11860,50.30000,0.06350,71.90000,87.40000,107.40000,126.10770,1.81309,109.87341,1.69237,1.31578,1522759140413.00000,10.94922,1.86647,16.75944,72.00000,100.37491,25.78829,,1.10000,0.10000,19.71667,1.73333,30.71667,2.40000,0.18333,43.40000,4.20000,67.91667,6.76667,0.38333,,9.46667,0.48333,0.05000,0.83333,,45.30000,117.95745,269.00000,-255.00000,236.39732,81.16448,TDSPHC-AGL-EV--,2018/04/03 12:38:00 UTC,35086.40000,850.60000,,468.20000,2.16230,1.77308,2.42430,11650.86667,1.77308,1.28621,,,,1162.00000,28.00000,120.00000,38.65865,176.00000,526.00000,120.00000,67.52160,25.00000,483.00000,41.75766,80.00000,10.00000,173.00000,2.32664,0.23266,66.03444,99.80989,34.92081,2.03865,1.00000,,105.10625,1.65525,1.28691,7.96931,16.00000,69.69845,13.13300,444.00000,Bike,1.00000,240.00000,2517.00000,807.00000,1336.00000,,2399.00000,1245.00000,57.00000,23.00000,92.00000,878.00000,206.00000,11.00000,43.00000,92.00000,115.00000,162.00000,4477.00000,4899.00000,98.17444,35.08640,1084.39648,900.04900,73.33440,120.21456,110.41833,105.10625,624.93061,,104.86351,189.00000,761.00000,236.00000,,4900.00000,2348.00000,2099.00000,453.00000,,357.15000,428.93700,135.31800,,1.8,1987,M,d0a080a4-912e-45ea-b86d-a07b72d064a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_04_03_12_38_00.csv,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False
262,111.51333,126.64775,1.54880,496.70000,6.89861,414.80000,5.76111,197.30000,140.76271,2.74028,863.00000,11.98611,108.94333,132.40450,1.51310,336.95000,4.67986,158.89167,,,,245.50000,3.40972,151.07222,143.21000,133.08361,1.98903,627.00000,8.70833,,,,113.52083,,9.00000,1191.80000,0.11860,50.30000,0.06350,71.90000,87.40000,107.40000,11.02168,1.01246,9.60603,0.94520,1.24685,1522767028957.00000,5.62760,0.87562,8.80345,72.00000,10.69619,26.13952,,1.43333,0.13333,21.31667,2.18333,,3.06667,0.28333,,5.20000,,7.10000,0.56667,,8.85000,0.70000,0.05000,1.13333,,,10.43725,269.00000,-255.00000,120.79927,1.80067,TDSPHC-AGL-EV--,2018/04/03 14:50:24 UTC,11574.00000,395.00000,,127.60000,1.59223,0.99624,3.41282,3663.48333,0.99624,,,,,,12.00000,114.00000,37.57210,185.00000,863.00000,114.00000,45.99000,23.00000,863.00000,53.54748,83.00000,23.00000,162.00000,2.29537,0.22954,30.03305,99.88413,11.18028,1.08803,1.00000,,9.29846,0.92995,1.22673,23.32597,1.00000,11.30811,2.39300,405.00000,Bike,20.00000,385.00000,1107.00000,145.00000,87.00000,5.00000,1429.00000,191.00000,40.00000,27.00000,8.00000,17.00000,17.00000,203.00000,15.00000,13.00000,19.00000,22.00000,1457.00000,1594.00000,92.43319,11.57400,290.61452,166.82400,16.63137,27.26323,32.28667,9.29846,822.44072,,6.11157,48.00000,,,,1729.00000,1729.00000,,,,172.74800,,,,1.8,1987,M,d0a080a4-912e-45ea-b86d-a07b72d064a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_04_03_14_50_24.csv,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False
263,252.53000,,3.50736,291.20000,4.04444,278.66667,3.87037,264.68333,,3.67616,392.00000,5.44444,249.60417,,3.46672,277.80000,3.85833,259.62500,247.23333,,3.43380,272.70000,3.78750,256.21111,255.92667,,3.55454,320.00000,4.44444,227.62444,,3.16145,252.93750,231.48685,9.00000,1191.80000,0.11860,50.30000,0.06350,71.90000,87.40000,107.40000,147.00763,,146.19157,,1.12413,1522843484865.00000,,0.01791,18.39180,72.00000,119.64072,27.61860,,1.03333,0.10000,15.60000,1.61667,25.30000,2.25000,0.20000,38.48333,3.60000,62.95000,5.05000,0.38333,80.01667,6.40000,0.48333,0.05000,0.80000,85.23333,41.78333,138.07621,269.00000,-255.00000,223.90305,95.66440,TDSP-C-AGL-EV--,2018/04/04 12:03:53 UTC,55045.40000,1028.00000,,665.20000,2.01252,,1.86755,,,,482.00000,4384.00000,,,,117.00000,,,392.00000,117.00000,65.55960,24.00000,176.00000,20.26511,,13.00000,,2.17245,0.21724,73.40301,99.74490,51.42196,3.00064,1.00000,,140.38969,,1.10160,23.91440,,9.07073,0.24100,574.00000,Bike,,,,,,,1329.00000,1455.00000,1891.00000,2493.00000,231.00000,18.00000,,250.00000,3.00000,3.00000,49.00000,224.00000,6888.00000,7175.00000,99.98503,55.04540,,1495.07500,,,107.62500,140.38969,498.96184,,,594.00000,,,,7417.00000,7417.00000,,,,1545.19200,,,,1.8,1987,M,d0a080a4-912e-45ea-b86d-a07b72d064a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_04_04_12_03_53.csv,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False
264,215.48833,,2.99289,495.50000,6.88194,450.20000,6.25278,275.71667,,3.82940,584.00000,8.11111,204.61000,,2.84181,381.25000,5.29514,247.02500,201.81222,,2.80295,310.03333,4.30602,241.47222,225.22333,,3.12810,531.80000,7.38611,177.40194,,2.46392,212.73125,169.32222,9.00000,1191.80000,0.11860,50.30000,0.06350,71.90000,87.40000,107.40000,89.80316,,86.03794,,1.18337,1522930416082.00000,,0.60639,13.96606,72.00000,71.61168,20.68379,,1.18333,0.11667,19.23333,1.93333,36.51667,2.68333,0.23333,45.31667,4.15000,80.48333,5.80000,0.45000,,7.71667,0.56667,0.06667,0.93333,,47.78333,84.16809,269.00000,-255.00000,179.89482,35.83627,TDSP-C-AGL-EV--,2018/04/05 12:12:58 UTC,37001.00000,853.00000,3.20000,487.40000,2.09349,,2.30534,,,,,,,21.00000,15.00000,140.00000,,,584.00000,140.00000,54.79200,26.00000,584.00000,37.43899,,10.00000,,2.90082,0.29008,55.44606,98.97260,26.21029,2.00639,1.00000,,82.46170,,1.15852,21.88942,2.00000,16.77028,2.65800,475.00000,Bike,36.00000,,,,,,2110.00000,3127.00000,1136.00000,259.00000,67.00000,90.00000,42.00000,748.00000,98.00000,103.00000,168.00000,414.00000,5300.00000,6450.00000,99.16034,37.00100,,1045.60800,,,96.75000,82.46170,449.53887,,,238.00000,,,,6831.00000,6831.00000,,,,1043.85200,,,,1.8,1987,M,d0a080a4-912e-45ea-b86d-a07b72d064a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_04_05_12_12_58.csv,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False
265,250.57000,,3.48014,359.40000,4.99167,346.13333,4.80741,324.56667,,4.50787,614.00000,8.52778,236.39583,,3.28328,339.10000,4.70972,312.07500,233.43278,,3.24212,336.16667,4.66898,311.84444,261.57667,,3.63301,411.80000,5.71944,226.29639,,3.14301,251.29167,,9.00000,1191.80000,0.11860,50.30000,0.06350,71.90000,87.40000,107.40000,117.01936,,111.95002,,1.21163,1523017810394.00000,,0.33930,17.68934,72.00000,93.14757,27.51934,,1.10000,0.10000,15.50000,1.68333,25.45000,2.28333,0.20000,34.75000,3.66667,58.18333,5.13333,0.38333,86.65000,6.43333,0.50000,0.05000,0.85000,,37.26667,109.86410,269.00000,-255.00000,230.39002,78.66407,TDSP-C-AGL-EV--,2018/04/06 12:29:53 UTC,40224.10000,783.60000,,404.40000,2.02099,,1.94809,,,,,,1731.00000,,,115.00000,,,614.00000,115.00000,65.23920,25.00000,474.00000,27.41937,,13.00000,,2.18028,0.21803,69.89727,99.83713,31.57575,2.04939,1.00000,,107.46308,,1.18710,13.32192,10.00000,49.34631,7.64600,468.00000,Bike,4.00000,,,,,,1873.00000,1533.00000,101.00000,318.00000,1015.00000,431.00000,14.00000,43.00000,3.00000,21.00000,40.00000,60.00000,5118.00000,5263.00000,99.63706,40.22410,,1024.63000,,,78.94500,107.46308,533.76727,,,553.00000,1078.00000,,,5285.00000,3133.00000,2152.00000,,,521.42900,520.93800,,,1.8,1987,M,d0a080a4-912e-45ea-b86d-a07b72d064a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_04_06_12_29_53.csv,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False
266,284.25667,172.88648,3.94801,661.00000,9.18056,607.73333,8.44074,377.91667,175.76271,5.24884,916.00000,12.72222,274.35417,171.74145,3.81047,564.45000,7.83958,351.35833,271.61167,172.26181,3.77238,488.43333,6.78380,325.76111,306.78000,172.58528,4.26083,709.40000,9.85278,255.69861,168.53348,3.55137,290.98333,222.40426,9.00000,1191.80000,0.11860,50.30000,0.06350,71.90000,87.40000,107.40000,140.38002,1.63386,133.64261,1.59417,1.15076,1523107538851.00000,10.34129,5.52446,19.96253,72.00000,130.34495,33.53260,,0.88333,0.08333,12.65000,1.38333,20.66667,1.95000,0.16667,28.65000,3.31667,44.83333,4.43333,0.35000,67.70000,5.58333,0.43333,0.05000,0.70000,70.41667,30.51667,132.25439,269.00000,-255.00000,250.06579,108.61883,TDSPHC-AGL-EV--,2018/04/07 13:24:59 UTC,48771.30000,753.40000,,373.80000,1.85692,1.60356,1.54476,14422.01667,1.60356,1.38532,1201.00000,827.00000,900.00000,292.00000,63.00000,122.00000,39.06871,183.00000,916.00000,122.00000,73.98000,25.00000,916.00000,43.18518,71.00000,15.00000,178.00000,1.78930,0.17893,79.26068,99.78166,23.88530,3.01988,1.00000,,128.72609,1.56457,1.12939,-2.78681,13.00000,110.59623,11.23100,538.00000,Bike,6.00000,371.00000,432.00000,1546.00000,2980.00000,163.00000,867.00000,1102.00000,1370.00000,1035.00000,609.00000,330.00000,179.00000,280.00000,4.00000,2.00000,6.00000,10.00000,5190.00000,5236.00000,95.93399,48.77130,1358.01515,1201.59100,108.84391,178.42408,157.32167,128.72609,493.85288,,173.29365,200.00000,299.00000,417.00000,484.00000,5492.00000,2269.00000,985.00000,1175.00000,1063.00000,374.81100,240.79100,297.74200,286.59900,1.8,1987,M,d0a080a4-912e-45ea-b86d-a07b72d064a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_04_07_13_24_59.csv,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False
267,275.89333,173.83472,3.83185,786.10000,10.91806,664.73333,9.23241,485.81667,161.01695,6.74745,979.00000,13.59722,235.60333,169.95413,3.27227,613.35000,8.51875,343.73333,225.32889,168.41634,3.12957,566.66667,7.87037,299.26111,289.54000,168.65217,4.02139,889.60000,12.35556,153.38083,131.86191,2.13029,277.94583,134.35204,9.00000,1191.80000,0.11860,50.30000,0.06350,71.90000,87.40000,107.40000,210.30890,1.49269,183.06286,1.39265,1.83849,1523195352965.00000,8.21804,14.74705,9.62817,72.00000,155.87388,21.23279,,1.28333,0.11667,19.85000,2.13333,30.71667,2.88333,0.23333,45.23333,4.38333,151.55000,6.45000,0.48333,184.75000,8.05000,0.60000,0.06667,1.00000,188.48333,90.95000,196.91976,269.00000,-255.00000,217.55790,87.28116,TDSPHC-AGL-EV--,2018/04/08 13:48:25 UTC,43314.90000,988.60000,,615.40000,2.12095,1.46050,2.28236,25730.06667,1.46050,0.75750,,312.00000,145.00000,238.00000,204.00000,126.00000,38.65319,199.00000,979.00000,126.00000,53.48520,32.00000,979.00000,72.48328,73.00000,21.00000,178.00000,2.82582,0.28258,38.26180,97.03779,10.77883,1.09628,1.00000,,175.26585,1.36267,1.79891,7.96152,19.00000,69.72805,13.00400,395.00000,Bike,97.00000,4505.00000,2205.00000,2308.00000,3181.00000,471.00000,7640.00000,1439.00000,1848.00000,689.00000,441.00000,313.00000,300.00000,5842.00000,144.00000,131.00000,205.00000,308.00000,6040.00000,7344.00000,91.35683,43.31490,1560.96287,1336.99900,101.58169,166.51937,299.44333,175.26585,280.89661,,344.01073,830.00000,233.00000,175.00000,,12670.00000,10951.00000,1224.00000,495.00000,,930.28200,267.67900,136.48800,,1.8,1987,M,d0a080a4-912e-45ea-b86d-a07b72d064a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_04_08_13_48_25.csv,True,True,True,True,True,True,False,True,True,True,False,True,True,False,False
268,150.43167,,2.08933,459.80000,6.38611,426.26667,5.92037,265.56667,,3.68843,650.00000,9.02778,124.34917,,1.72707,372.85000,5.17847,231.40833,,,,341.43333,4.74213,198.90556,186.20000,,2.58611,523.80000,7.27500,,,,163.26875,,9.00000,1191.80000,0.11860,50.30000,0.06350,71.90000,87.40000,107.40000,17.11129,,14.27440,,1.33269,1523284307927.00000,,0.64483,10.04902,72.00000,15.02994,26.28750,,1.43333,0.13333,20.95000,2.16667,,2.91667,0.26667,,4.41667,,6.20000,0.53333,,7.75000,0.68333,0.06667,1.11667,,,16.23276,269.00000,-255.00000,147.70379,3.99702,TDSP-C-AGL-EV--,2018/04/09 14:31:36 UTC,11559.20000,384.00000,367.20000,120.40000,1.53798,,3.32203,,,,,,,25.00000,14.00000,104.00000,,,650.00000,104.00000,48.93120,27.00000,610.00000,65.76440,,25.00000,,2.28245,0.22825,35.22768,98.30769,16.94420,1.10049,1.00000,,13.84320,,1.31240,20.79308,2.00000,20.93886,2.21900,410.00000,Bike,41.00000,,,,,,1150.00000,362.00000,85.00000,41.00000,27.00000,25.00000,36.00000,218.00000,12.00000,7.00000,14.00000,22.00000,1453.00000,1583.00000,95.88620,11.55920,,190.09700,,,23.74500,13.84320,800.92700,,,101.00000,,,,1726.00000,1726.00000,,,,189.35400,,,,1.8,1987,M,d0a080a4-912e-45ea-b86d-a07b72d064a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_04_09_14_31_36.csv,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False
269,199.81333,,2.77519,879.00000,12.20833,852.40000,11.83889,548.75000,,7.62153,924.00000,12.83333,177.91000,,2.47097,833.55000,11.57708,375.85000,167.90056,,2.33195,766.66667,10.64815,345.61111,257.26000,,3.57306,901.20000,12.51667,157.71250,,2.19045,202.49792,129.37111,9.00000,1191.80000,0.11860,50.30000,0.06350,71.90000,87.40000,107.40000,135.12436,,104.59160,,1.62810,1523319643992.00000,,8.54972,11.68410,72.00000,90.15825,17.57383,,2.08333,0.15000,37.50000,3.50000,63.40000,4.95000,0.31667,92.00000,7.75000,,10.36667,0.73333,,13.45000,0.93333,0.08333,1.60000,,95.06667,127.19648,269.00000,-255.00000,216.85156,58.23316,TDSP-C-AGL-EV--,2018/04/10 00:20:18 UTC,24222.60000,739.80000,,363.00000,1.79910,,3.05417,,,,,,,115.00000,127.00000,137.00000,,,924.00000,137.00000,45.81360,32.00000,924.00000,77.94370,,24.00000,,3.41417,0.34142,46.02382,99.45887,13.85906,1.11684,1.00000,,100.69175,,1.59746,4.33958,4.00000,83.49971,16.89800,412.00000,Bike,82.00000,,,,,,3449.00000,1377.00000,539.00000,287.00000,168.00000,228.00000,220.00000,1989.00000,141.00000,180.00000,189.00000,241.00000,3528.00000,4964.00000,91.33837,24.22260,,802.66600,,,74.46000,100.69175,424.90108,,,504.00000,94.00000,81.00000,18.00000,6268.00000,5732.00000,307.00000,198.00000,31.00000,707.12700,51.34700,58.22900,13.65900,1.8,1987,M,d0a080a4-912e-45ea-b86d-a07b72d064a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018_04_10_00_20_18.csv,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False
